pmid,year,title,category
24166227,2013,Empirical performance of a self-controlled cohort method: lessons for developing a risk identification and analysis system.,Methodological research
24166228,2013,Empirical performance of the calibrated self-controlled cohort analysis within temporal pattern discovery: lessons for developing a risk identification and analysis system.,Methodological research
24166229,2013,Evaluation of disproportionality safety signaling applied to healthcare databases.,Methodological research
24166230,2013,Empirical performance of LGPS and LEOPARD: lessons for developing a risk identification and analysis system.,Methodological research
24166231,2013,A comparison of the empirical performance of methods for a risk identification system.,Methodological research
24166232,2013,Replication of the OMOP experiment in Europe: evaluating methods for risk identification in electronic health record databases.,Methodological research
24166233,2013,Evaluating performance of risk identification methods through a large-scale simulation of observational data.,Methodological research
24166234,2013,Alternative outcome definitions and their effect on the performance of methods for observational outcome studies.,Methodological research
24166235,2013,The impact of drug and outcome prevalence on the feasibility and performance of analytical methods for a risk identification and analysis system.,Methodological research
24235108,2013,Adverse drug effect detection.,Methodological research
24448022,2013,Medication-wide association studies.,Methodological research
24551366,2013,Desiderata for healthcare integrated data repositories based on architectural comparison of three public repositories.,Open community data standards
25083251,2013,Does design matter? Systematic evaluation of the impact of analytical choices on effect estimates in observational studies.,Methodological research
25328363,2013,Massive parallelization of serial inference algorithms for a complex generalized linear model.,Methodological research
23900808,2014,Interpreting observational studies: why empirical calibration is needed to correct p-values.,Methodological research
24068252,2014,Discussion: An estimate of the science-wise false discovery rate and application to the top medical literature.,Methodological research
24526267,2014,Exposure to oral fluoroquinolones and the risk of retinal detachment: retrospective analyses of two large healthcare databases.,Clinical evidence generation
24635221,2014,Combining multiple healthcare databases for postmarketing drug and vaccine safety surveillance: why and how?,Methodological research
24713590,2014,Toward enhanced pharmacovigilance using patient-generated data on the internet.,Methodological research
24780722,2014,pSCANNER: patient-centered Scalable National Network for Effectiveness Research.,Clinical evidence generation
24821737,2014,PEDSnet: a National Pediatric Learning Health System.,Open community data standards
24985530,2014,Bridging islands of information to establish an integrated knowledge base of drugs and health outcomes of interest.,Open community data standards
25187016,2014,Fidelity assessment of a clinical practice research datalink conversion to the OMOP common data model.,Open community data standards
25187018,2014,"Converting to a common data model: what is lost in translation? : Commentary on ""fidelity assessment of a clinical practice research datalink conversion to the OMOP common data model"".",Open community data standards
25250527,2014,Similarity-based modeling applied to signal detection in pharmacovigilance.,Methodological research
25848597,2014,Transforming the Premier Perspective Hospital Database into the Observational Medical Outcomes Partnership (OMOP) Common Data Model.,Open community data standards
25848603,2014,The DARTNet Institute: Seeking a Sustainable Support Mechanism for Electronic Data Enabled Research Networks.,Open community data standards
26052957,2014,Exploration of heterogeneity in distributed research network drug safety analyses.,Methodological research
25670757,2015,"Feasibility and utility of applications of the common data model to multiple, disparate observational health databases.",Open community data standards
25730525,2015,Switching from risperidone long-acting injectable to paliperidone long-acting injectable or oral antipsychotics: analysis of a Medicaid claims database.,Clinical evidence generation
25848530,2015,Development and validation of a classification approach for extracting severity automatically from electronic health records.,Methodological research
25887092,2015,The impact of standardizing the definition of visits on the consistency of multi-database observational health research.,Open community data standards
25992385,2015,Transparent reporting of data quality in distributed data networks.,Open community data standards
26041386,2015,Birth month affects lifetime disease risk: a phenome-wide method.,Clinical evidence generation
26055920,2015,A Comparative Assessment of Observational Medical Outcomes Partnership and Mini-Sentinel Common Data Models and Analytics: Implications for Active Drug Safety Surveillance.,Methodological research
26068584,2015,Improving Detection of Arrhythmia Drug-Drug Interactions in Pharmacovigilance Data through the Implementation of Similarity-Based Modeling.,Methodological research
26092163,2015,[Benefits of large healthcare databases for drug risk research].,Open community data standards
26116429,2015,A supervised adverse drug reaction signalling framework imitating Bradford Hill's causality considerations.,Methodological research
26153397,2015,A Method to Combine Signals from Spontaneous Reporting Systems and Observational Healthcare Data to Detect Adverse Drug Reactions.,Methodological research
26262116,2015,Observational Health Data Sciences and Informatics (OHDSI): Opportunities for Observational Researchers.,Open source development
26306268,2015,Are All Vaccines Created Equal? Using Electronic Health Records to Discover Vaccines Associated With Clinician-Coded Adverse Events.,Clinical evidence generation
26448797,2015,Creating a Common Data Model for Comparative Effectiveness with the Observational Medical Outcomes Partnership.,Open community data standards
26515501,2015,Semantic processing of EHR data for clinical research.,Open community data standards
26958207,2015,Clinical Predictive Modeling Development and Deployment through FHIR Web Services.,Open source development
24685766,2016,Detecting adverse drug reactions following long-term exposure in longitudinal observational data: The exposure-adjusted self-controlled case series.,Methodological research
26527579,2016,A normalization method for combination of laboratory test results from different electronic healthcare databases in a distributed research network.,Methodological research
26559926,2016,Systems biology approaches for identifying adverse drug reactions and elucidating their underlying biological mechanisms.,Methodological research
26879560,2016,Evidence of Misclassification of Drug-Event Associations Classified as Gold Standard 'Negative Controls' by the Observational Medical Outcomes Partnership (OMOP).,Methodological research
26893951,2016,Conversion and Data Quality Assessment of Electronic Health Record Data at a Korean Tertiary Teaching Hospital to a Common Data Model for Distributed Network Research.,Open community data standards
26970249,2016,Limitations of empirical calibration of p-values using observational data.,Methodological research
27014709,2016,"Data Extraction and Management in Networks of Observational Health Care Databases for Scientific Research: A Comparison of EU-ADR, OMOP, Mini-Sentinel and MATRICE Strategies.",Open community data standards
27016383,2016,Improving condition severity classification with an efficient active learning based framework.,Methodological research
27099532,2016,Seasonality in acute liver injury? Findings in two health care claims databases.,Clinical evidence generation
27174893,2016,Learning statistical models of phenotypes using noisy labeled training data.,Methodological research
27193236,2016,A curated and standardized adverse drug event resource to accelerate drug safety research.,Open community data standards
27226264,2016,Hypothyroidism risk compared among nine common bipolar disorder therapies in a large US cohort.,Clinical evidence generation
27274072,2016,Characterizing treatment pathways at scale using the OHDSI network.,Clinical evidence generation
27418432,2016,Design and analysis choices for safety surveillance evaluations need to be tuned to the specifics of the hypothesized drug-outcome association.,Methodological research
27592566,2016,Robust empirical calibration of p-values using observational data.,Methodological research
27600407,2016,GIST 2.0: A scalable multi-trait metric for quantifying population representativeness of individual clinical studies.,Methodological research
27713905,2016,A Harmonized Data Quality Assessment Terminology and Framework for the Secondary Use of Electronic Health Record Data.,Open community data standards
27764192,2016,Incidence of Exposure of Patients in the United States to Multiple Drugs for Which Pharmacogenomic Guidelines Are Available.,Clinical evidence generation
27891528,2016,Preparing Nursing Home Data from Multiple Sites for Clinical Research - A Case Study Using Observational Health Data Sciences and Informatics.,Open community data standards
27940627,2016,"Automatic identification of type 2 diabetes, hypertension, ischaemic heart disease, heart failure and their levels of severity from Italian General Practitioners' electronic medical records: a validation study.",Open community data standards
27989817,2016,Evaluating common data models for use with a longitudinal community registry.,Open community data standards
28154833,2016,Multisite Evaluation of a Data Quality Tool for Patient-Level Clinical Data Sets.,Open source development
28269868,2016,Feasibility of Representing Data from Published Nursing Research Using the OMOP Common Data Model.,Open community data standards
28503249,2016,"Hierarchical Models for Multiple, Rare Outcomes Using Massive Observational Healthcare Databases.",Methodological research
27993747,2017,Accuracy of an automated knowledge base for identifying drug adverse reactions.,Methodological research
28103227,2017,Ten Simple Rules to Enable Multi-site Collaborations through Data Sharing.,Open community data standards
28124262,2017,Atypical Antipsychotics and the Risks of Acute Kidney Injury and Related Outcomes Among Older Adults: A Replication Analysis and an Evaluation of Adapted Confounding Control Strategies.,Methodological research
28225746,2017,Atypical Antipsychotics and the Risk of Falls and Fractures Among Older Adults: An Emulation Analysis and an Evaluation of Additional Confounding Control Strategies.,Clinical evidence generation
28261525,2017,Sharing Clinical Big Data While Protecting Confidentiality and Security: Observational Health Data Sciences and Informatics.,Open community data standards
28270198,2017,Large-scale adverse effects related to treatment evidence standardization (LAERTES): an open scalable system for linking pharmacovigilance evidence sources with clinical data.,Open source development
28379377,2017,EliIE: An open-source information extraction system for clinical trial eligibility criteria.,Open source development
28392100,2017,Risk Prediction for Ischemic Stroke and Transient Ischemic Attack in Patients Without Atrial Fibrillation: A Retrospective Cohort Study.,Methodological research
28398525,2017,A longitudinal analysis of data quality in a large pediatric data research network.,Open community data standards
28448895,2017,Incidence of diabetic ketoacidosis among patients with type 2 diabetes mellitus treated with SGLT2 inhibitors and other antihyperglycemic agents.,Clinical evidence generation
28456512,2017,Inter-labeler and intra-labeler variability of condition severity classification models using active and passive learning methods.,Methodological research
28479543,2017,A Realism-Based View on Counts in OMOP's Common Data Model.,Open community data standards
28681416,2017,Risk of angioedema associated with levetiracetam compared with phenytoin: Findings of the observational health data sciences and informatics research network.,Methodological research
28776047,2017,An Interoperable Similarity-based Cohort Identification Method Using the OMOP Common Data Model version 5.0.,Methodological research
28780741,2017,Channeling in the Use of Nonprescription Paracetamol and Ibuprofen in an Electronic Medical Records Database: Evidence and Implications.,Methodological research
28815104,2017,Electronic phenotyping with APHRODITE and the Observational Health Sciences and Informatics (OHDSI) data network.,Open source development
28823923,2017,Procedure prediction from symbolic Electronic Health Records via time intervals analytics.,Methodological research
28903729,2017,"Dynamic-ETL: a hybrid approach for health data extraction, transformation and loading.",Open community data standards
29063555,2017,Representing Knowledge Consistently Across Health Systems.,Open community data standards
29081385,2017,Toward multimodal signal detection of adverse drug reactions.,Methodological research
29232365,2017,Monitoring compliance with standards of care for chronic diseases using healthcare administrative databases in Italy: Strengths and limitations.,Clinical evidence generation
29295138,2017,Conversion of National Health Insurance Service-National Sample Cohort (NHIS-NSC) Database into Observational Medical Outcomes Partnership-Common Data Model (OMOP-CDM).,Open community data standards
29295227,2017,A Consensus-Based Approach for Harmonizing the OHDSI Common Data Model with HL7 FHIR.,Open community data standards
29295240,2017,An OMOP CDM-Based Relational Database of Clinical Research Eligibility Criteria.,Open community data standards
29295408,2017,Building Interoperable FHIR-Based Vocabulary Mapping Services: A Case Study of OHDSI Vocabularies and Mappings.,Unknown
29755826,2017,Pharmacovigilance via Baseline Regularization with Large-Scale Longitudinal Observational Data.,Methodological research
29854108,2017,Improving the 'Fitness for Purpose' of Common Data Models through Realism Based Ontology.,Open community data standards
29881733,2017,A Comparison of Data Quality Assessment Checks in Six Data Sharing Networks.,Open community data standards
29881736,2017,Reporting Data Quality Assessment Results: Identifying Individual and Organizational Barriers and Solutions.,Open community data standards
28815480,2018,Evaluation of Electronic Healthcare Databases for Post-Marketing Drug Safety Surveillance and Pharmacoepidemiology in China.,Open community data standards
28898514,2018,Risk of lower extremity amputations in people with type 2 diabetes mellitus treated with sodium-glucose co-transporter-2 inhibitors in the USA: A retrospective cohort study.,Clinical evidence generation
29036387,2018,Uncovering exposures responsible for birth season - disease effects: a global study.,Clinical evidence generation
29040596,2018,High-fidelity phenotyping: richness and freedom from bias.,Methodological research
29157113,2018,Assessing performance of sequential analysis methods for active drug safety surveillance using observational data.,Methodological research
29218922,2018,Methods for examining data quality in healthcare integrated data repositories.,Open community data standards
29365340,2018,Towards Implementation of OMOP in a German University Hospital Consortium.,Open community data standards
29389968,2018,Inferring pregnancy episodes and outcomes within a network of observational databases.,Methodological research
29468602,2018,Time Series Disturbance Detection for Hypothesis-Free Signal Detection in Longitudinal Observational Databases.,Methodological research
29495212,2018,[Data harmonization and sharing in study cohorts of respiratory diseases].,Open community data standards
29531023,2018,Empirical confidence interval calibration for population-level effect estimation studies in observational healthcare data.,Methodological research
29687963,2018,Expanding transplant outcomes research opportunities through the use of a common data model.,Open community data standards
29718407,2018,Design and implementation of a standardized framework to generate and evaluate patient-level prediction models using observational healthcare data.,Open source development
29726424,2018,A Clinical Data Warehouse Based on OMOP and i2b2 for Austrian Health Claims Data.,Open community data standards
29735409,2018,Comparison of survival and prognostic factors in patients treated with stereotactic body radiotherapy for oligometastases or oligoprogression.,Clinical evidence generation
29760661,2018,A Semantic Transformation Methodology for the Secondary Use of Observational Healthcare Data in Postmarketing Safety Studies.,Open community data standards
29779949,2018,Disease Heritability Inferred from Familial Relationships Reported in Medical Records.,Clinical evidence generation
29786922,2018,Finding factors that predict treatment-resistant depression: Results of a cohort study.,Clinical evidence generation
29888090,2018,The Data Gap in the EHR for Clinical Research Eligibility Screening.,Open community data standards
29920885,2018,Comprehensive comparison of monotherapies for psychiatric hospitalization risk in bipolar disorders.,Clinical evidence generation
29938883,2018,"Comparative effectiveness of canagliflozin, SGLT2 inhibitors and non-SGLT2 inhibitors on the risk of hospitalization for heart failure and amputation in patients with type 2 diabetes mellitus: A real-world meta-analysis of 4 observational databases (OBSERVE-4D).",Clinical evidence generation
29939268,2018,Evaluating large-scale propensity score performance through real-world and synthetic data experiments.,Unknown
30010902,2018,Learning predictive models of drug side-effect relationships from distributed representations of literature-derived semantic predications.,Methodological research
30016814,2018,MIRACUM: Medical Informatics in Research and Care in University Medicine.,Open community data standards
30082302,2018,Improving reproducibility by using high-throughput observational studies with empirical calibration.,Methodological research
30085008,2018,Web services for data warehouses: OMOP and PCORnet on i2b2.,Open source development
30100761,2018,Applying a common data model to Asian databases for multinational pharmacoepidemiologic studies: opportunities and challenges.,Open community data standards
30172760,2018,Methodological variations in lagged regression for detecting physiologic drug effects in EHR data.,Methodological research
30306907,2018,Common Data Models (CDMs) to Enhance International Big Data Analytics: A Diabetes Use Case to Compare Three CDMs.,Open community data standards
30306935,2018,Biomedical Informatics Investigator.,Open source development
30395248,2018,Effect of vocabulary mapping for conditions on phenotype cohorts.,Open community data standards
30421323,2018,Analysis of treatment pathways for three chronic diseases using OMOP CDM.,Clinical evidence generation
30480666,2018,"Columbia Open Health Data, clinical concept prevalence and co-occurrence from electronic health records.",Open community data standards
30526572,2018,Preliminary exploration of survival analysis using the OHDSI common data model: a case study of intrahepatic cholangiocarcinoma.,Open community data standards
30540837,2018,Penetration of new antidiabetic medications in East Asian countries and the United States: A cross-national comparative study.,Clinical evidence generation
30646124,2018,"Association of Hemoglobin A1c Levels With Use of Sulfonylureas, Dipeptidyl Peptidase 4 Inhibitors, and Thiazolidinediones in Patients With Type 2 Diabetes Treated With Metformin: Analysis From the Observational Health Data Sciences and Informatics Initiative.",Clinical evidence generation
30815088,2018,Clinical Concept Value Sets and Interoperability in Health Data Analytics.,Open community data standards
30815195,2018,Identifying Cases of Metastatic Prostate Cancer Using Machine Learning on Electronic Health Records.,Methodological research
30738946,2019,ADEpedia-on-OHDSI: A next generation pharmacovigilance signal detection platform using the OHDSI common data model.,Open community data standards
30753493,2019,Criteria2Query: a natural language interface to clinical databases for cohort definition.,Open source development
30762164,2019,"A Comparison Study of Algorithms to Detect Drug-Adverse Event Associations: Frequentist, Bayesian, and Machine-Learning Approaches.",Methodological research
30771218,2019,Concomitant radiotherapy and TKI in metastatic EGFR- or ALK-mutated non-small cell lung cancer: a multicentric analysis on behalf of AIRO lung cancer study group.,Clinical evidence generation
30779778,2019,Data model harmonization for the All Of Us Research Program: Transforming i2b2 data into the OMOP common data model.,Open community data standards
30857412,2019,Predicting Future Cardiovascular Events in Patients With Peripheral Artery Disease Using Electronic Health Record Data.,Clinical evidence generation
30912749,2019,Genomic Common Data Model for Seamless Interoperation of Biomedical Data in Clinical Practice: Retrospective Study.,Open community data standards
30937326,2019,Learning to Share Health Care Data: A Brief Timeline of Influential Common Data Models and Distributed Health Data Networks in U.S. Health Care Research.,Open community data standards
30942734,2019,Standardizing Austrians Claims Data Using the OMOP Common Data Model: A Feasibility Study.,Open community data standards
30943974,2019,Developing a portable natural language processing based phenotyping system.,Open community data standards
31054141,2019,Identifying the DEAD: Development and Validation of a Patient-Level Model to Predict Death Status in Population-Level Claims Data.,Methodological research
31065558,2019,A Data Element-Function Conceptual Model for Data Quality Checks.,Open community data standards
31066478,2019,"Comment on ""How pharmacoepidemiology networks can manage distributed analyses to improve replicability and transparency and minimize bias"".",Methodological research
31104738,2019,Using Machine Learning Applied to Real-World Healthcare Data for Predictive Analytics: An Applied Example in Bariatric Surgery.,Clinical evidence generation
31214700,2019,PatientExploreR: an extensible application for dynamic visualization of patient clinical history from electronic health records in the OMOP common data model.,Open source development
31238109,2019,HemOnc: A new standard vocabulary for chemotherapy regimen representation in the OMOP common data model.,Open community data standards
31304370,2019,Finding missed cases of familial hypercholesterolemia in health systems using machine learning.,Clinical evidence generation
31307128,2019,Fully connecting the Observational Health Data Science and Informatics (OHDSI) initiative with the world of linked open data.,Open community data standards
31325501,2019,Facilitating phenotype transfer using a common data model.,Open community data standards
31365089,2019,Challenges with quality of race and ethnicity data in observational databases.,Open community data standards
31368080,2019,A Novel Approach to Visualize Risk Minimization Effectiveness: Peeping at the 2012 UK Proton Pump Inhibitor Label Change Using a Rapid Cycle Analysis Tool.,Clinical evidence generation
31369862,2019,PheValuator: Development and evaluation of a phenotype algorithm evaluator.,Methodological research
31386904,2019,Supplementing claims data analysis using self-reported data to develop a probabilistic phenotype model for current smoking status.,Methodological research
31436848,2019,A plea to stop using the case-control design in retrospective database studies.,Methodological research
31437920,2019,Transforming Two Decades of ePR Data to OMOP CDM for Clinical Research.,Open community data standards
31437950,2019,Detecting Systemic Data Quality Issues in Electronic Health Records.,Methodological research
31438202,2019,Augmenting Medical Device Evaluation Using a Reusable Unique Device Identifier Interoperability Solution Based on the OHDSI Common Data Model.,Open community data standards
31438258,2019,Characterizing VA Users with the OMOP Common Data Model.,Open community data standards
31438365,2019,Standardized Observational Cancer Research Using the OMOP CDM Oncology Module.,Open community data standards
31438371,2019,Genomic Common Data Model for Biomedical Data in Clinical Practice.,Open community data standards
31445247,2019,Automatic trial eligibility surveillance based on unstructured clinical data.,Methodological research
31456304,2019,Diabetic ketoacidosis in patients with type 2 diabetes treated with sodium glucose co-transporter 2 inhibitors versus other antihyperglycemic agents: An observational study of four US administrative claims databases.,Clinical evidence generation
31483279,2019,Moving Towards an EHR Data Quality Framework: The MIRACUM Approach.,Open community data standards
31494719,2019,Feasibility of Mapping Austrian Health Claims Data to the OMOP Common Data Model.,Open community data standards
31542521,2019,Making work visible for electronic phenotype implementation: Lessons learned from the eMERGE network.,Methodological research
31545380,2019,Comparison of the cohort selection performance of Australian Medicines Terminology to Anatomical Therapeutic Chemical mappings.,Open community data standards
31553307,2019,Mapping ICD-10 and ICD-10-CM Codes to Phecodes: Workflow Development and Initial Evaluation.,Open community data standards
31581246,2019,"KETOS: Clinical decision support and machine learning as a service - A training and deployment platform based on Docker, OMOP-CDM, and FHIR Web Services.",Unknown
31596493,2019,Feasibility of Using Real-World Data to Replicate Clinical Trial Evidence.,Methodological research
31633087,2019,ROMOP: a light-weight R package for interfacing with OMOP-formatted electronic health record data.,Open source development
31645076,2019,Incrementally Transforming Electronic Medical Records into the Observational Medical Outcomes Partnership Common Data Model: A Multidimensional Quality Assurance Approach.,Open community data standards
31668726,2019,"Comprehensive comparative effectiveness and safety of first-line antihypertensive drug classes: a systematic, multinational, large-scale analysis.",Clinical evidence generation
31837755,2019,Optimization of Electronic Medical Records for Data Mining Using a Common Data Model.,Open community data standards
31851711,2019,Inferring disease severity in rheumatoid arthritis using predictive modeling in administrative claims databases.,Methodological research
32308871,2019,Considerations for Improving the Portability of Electronic Health Record-Based Phenotype Algorithms.,Open source development
38229379,2019,"Opioid use, postoperative complications, and implant survival after unicompartmental versus total knee replacement: a population-based network study.",Clinical evidence generation
31592524,2020,"Leaf: an open-source, model-agnostic, data-driven web application for cohort discovery and translational biomedical research.",Open source development
31642211,2020,Comparison of First-Line Dual Combination Treatments in Hypertension: Real-World Evidence from Multinational Heterogeneous Cohorts.,Clinical evidence generation
31651956,2020,Imputation and characterization of uncoded self-harm in major mental illness using machine learning.,Methodological research
31797639,2020,Robust-ODAL: Learning from heterogeneous health systems without sharing patient-level data.,Methodological research
31866433,2020,Adapting electronic health records-derived phenotypes to claims data: Lessons learned in using limited clinical data for phenotyping.,Methodological research
31900133,2020,Treatment patterns and sequences of pharmacotherapy for patients diagnosed with depression in the United States: 2014 through 2019.,Clinical evidence generation
31910437,2020,Development and validation of a prognostic model predicting symptomatic hemorrhagic transformation in acute ischemic stroke at scale in the OHDSI network.,Methodological research
31914471,2020,Transforming French Electronic Health Records into the Observational Medical Outcome Partnership's Common Data Model: A Feasibility Study.,Open community data standards
31923062,2020,Relative Risk of Cervical Neoplasms Among Copper and Levonorgestrel-Releasing Intrauterine System Users.,Clinical evidence generation
31926440,2020,"Radiosurgery and fractionated stereotactic radiotherapy in oligometastatic/oligoprogressive non-small cell lung cancer patients: Results of a multi-institutional series of 198 patients treated with ""curative"" intent.",Clinical evidence generation
31937652,2020,"Application of a Common Data Model (CDM) to rank the paediatric user and prescription prevalence of 15 different drug classes in South Korea, Hong Kong, Taiwan, Japan and Australia: an observational, descriptive study.",Open community data standards
31939079,2020,Developing Predictive Models to Determine Patients in End-of-Life Care in Administrative Datasets.,Methodological research
31951272,2020,Assessment of a Machine Learning Model Applied to Harmonized Electronic Health Record Data for the Prediction of Incident Atrial Fibrillation.,Clinical evidence generation
31956997,2020,Can We Rely on Results From IQVIA Medical Research Data UK Converted to the Observational Medical Outcome Partnership Common Data Model?: A Validation Study Based on Prescribing Codeine in Children.,Open community data standards
31970824,2020,Comparative risk of Clostridium difficile infection between proton pump inhibitors and histamine-2 receptor antagonists: A 15-year hospital cohort study using a common data model.,Clinical evidence generation
32053653,2020,Wisdom of the CROUD:  Development and validation of a patient-level prediction model for opioid use disorder using population-level claims data.,Clinical evidence generation
32065600,2020,Comparison of Cardiovascular and Safety Outcomes of Chlorthalidone vs Hydrochlorothiazide to Treat Hypertension.,Clinical evidence generation
32133717,2020,Empirical assessment of case-based methods for drug safety alert identification in the French National Healthcare System database (SNDS): Methodology of the ALCAPONE project.,Methodological research
32134687,2020,Treatment Patterns for Chronic Comorbid Conditions in Patients With Cancer Using a Large-Scale Observational Data Network.,Clinical evidence generation
32162687,2020,Analysis of antiseizure drug-related adverse reactions from the electronic health record using the common data model.,Clinical evidence generation
32185437,2020,"Secular trends in the initiation of therapy in secondary fracture prevention in Europe: a multi-national cohort study including data from Denmark, Catalonia, and the United Kingdom.",Clinical evidence generation
32220411,2020,Service utilization and chronic condition outcomes among primary care patients with substance use disorders and co-occurring chronic conditions.,Clinical evidence generation
32229499,2020,Extending an open-source tool to measure data quality: case report on Observational Health Data Science and Informatics (OHDSI).,Open source development
32293578,2020,Effect of Age on the Initiation of Biologic Agent Therapy in Patients With Inflammatory Bowel Disease: Korean Common Data Model Cohort Study.,Clinical evidence generation
32313838,2020,The European medical information framework: A novel ecosystem for sharing healthcare data across Europe.,Open community data standards
32334104,2020,The association between renal function and BMD response to bisphosphonate treatment: Real-world cohort study using linked national registers.,Clinical evidence generation
32335224,2020,"Deep phenotyping: Embracing complexity and temporality-Towards scalability, portability, and interoperability.",Methodological research
32338068,2020,Acute pancreatitis risk in type 2 diabetes patients treated with canagliflozin versus other antihyperglycemic agents: an observational claims database study.,Clinical evidence generation
32374408,2020,Development and validation of phenotype classifiers across multiple sites in the observational health data sciences and informatics network.,Methodological research
32375693,2020,Feasibility and evaluation of a large-scale external validation approach for patient-level prediction in an international data network: validation of models predicting stroke in female patients newly diagnosed with atrial fibrillation.,Methodological research
32399991,2020,"Nintedanib and ischemic colitis: Signal assessment with the integrated use of two types of real-world evidence, spontaneous reports of suspected adverse drug reactions, and observational data from large health-care databases.",Methodological research
32411828,2020,Translating evidence into practice: eligibility criteria fail to eliminate clinically significant differences between real-world and study populations.,Methodological research
32431551,2020,Evaluating the Effectiveness of an Additional Risk Minimization Measure to Reduce the Risk of Prescribing Mirabegron to Patients with Severe Uncontrolled Hypertension in Four European Countries.,Clinical evidence generation
32458499,2020,Real-world data in Saudi Arabia: Current situation and challenges for regulatory decision-making.,Open community data standards
32470694,2020,Converting clinical document architecture documents to the common data model for incorporating health information exchange data in observational health studies: CDA to CDM.,Open community data standards
32477256,2020,Characterization of Anti-seizure Medication Treatment Pathways in Pediatric Epilepsy Using the Electronic Health Record-Based Common Data Model.,Clinical evidence generation
32477631,2020,Comparative Analysis and Evaluation of State-of-the-Art Medication Mapping Tools to Transform a Local Medication Terminology to RxNorm.,Open community data standards
32477663,2020,Mapping Local Biospecimen Records to the OMOP Common Data Model.,Open community data standards
32477694,2020,Integrating Electronic Health Record Data into the ADEpedia-on-OHDSI Platform for Improved Signal Detection: A Case Study of Immune-related Adverse Events.,Open community data standards
32479175,2020,Research and Reporting Considerations for Observational Studies Using Electronic Health Record Data.,Methodological research
32484782,2020,The Oxford Royal College of General Practitioners Clinical Informatics Digital Hub: Protocol to Develop Extended COVID-19 Surveillance and Trial Platforms.,Clinical evidence generation
32492716,2020,EHR-Independent Predictive Decision Support Architecture Based on OMOP.,Open community data standards
32500272,2020,"Channeling Bias in the Analysis of Risk of Myocardial Infarction, Stroke, Gastrointestinal Bleeding, and Acute Renal Failure with the Use of Paracetamol Compared with Ibuprofen.",Methodological research
32524701,2020,Empirical assessment of case-based methods for identification of drugs associated with upper gastrointestinal bleeding in the French National Healthcare System database (SNDS).,Methodological research
32530430,2020,Detecting and Filtering Immune-Related Adverse Events Signal Based on Text Mining and Observational Health Data Sciences and Informatics Common Data Model: Framework Development Study.,Methodological research
32531725,2020,Establishment and evaluation of a multicenter collaborative prediction model construction framework supporting model generalization and continuous improvement: A pilot study.,Methodological research
32570362,2020,Data Integration into OMOP CDM for Heterogeneous Clinical Data Collections via HL7 FHIR Bundles and XSLT.,Open community data standards
32570366,2020,Design for a Modular Clinical Trial Recruitment Support System Based on FHIR and OMOP.,Open source development
32570675,2020,Specification and Distribution of Vocabularies Among Consortial Partners.,Open community data standards
32626900,2020,Learning from local to global: An efficient distributed algorithm for modeling time-to-event data.,Methodological research
32632237,2020,Comparative safety and effectiveness of alendronate versus raloxifene in women with osteoporosis.,Clinical evidence generation
